Order_ID,Order_Date,Year,Quarter,Month,Customer_ID,Gender,Age_Group,Customer_Segment,Brand,Category,Sub_Category,Unit_Price,Listing_Type,Quantity,Revenue,Discount,Profit,Stock_Received,Stock_Available,City,State,Region,Delivery_Days,Returned,Rating,Feedback_Sentiment
O00001,2012-12-12,2012,Q4,Dec,C0002,Female,45+,Regular,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,124,1191,2032,1534,Bangalore,Karnataka,South,5,Yes,3,Neutral
O00002,2015-04-06,2015,Q2,Apr,C0003,Male,26-35,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,82,227,4443,3797,Hyderabad,Telangana,South,1,Yes,2,Negative
O00003,2020-01-18,2020,Q1,Jan,C0004,Male,26-35,Regular,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,81,890,6092,5829,Bangalore,Karnataka,South,4,Yes,2,Negative
O00004,2025-01-25,2025,Q1,Jan,C0005,Male,18-25,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,134,1132,5860,5055,Bangalore,Karnataka,South,5,Yes,3,Neutral
O00005,2018-06-08,2018,Q2,Jun,C0006,Female,45+,New,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,3,2397,2,930,5063,4192,Chennai,Tamil Nadu,South,7,Yes,5,Positive
O00006,2023-05-07,2023,Q2,May,C0007,Female,36-45,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,11,1022,2673,2460,Chennai,Tamil Nadu,South,4,No,3,Neutral
O00007,2024-05-21,2024,Q2,May,C0008,Male,45+,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,4,2396,8,918,7120,6395,Mumbai,Maharashtra,West,2,Yes,5,Positive
O00008,2015-01-29,2015,Q1,Jan,C0009,Male,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,78,1611,6078,5893,Mumbai,Maharashtra,West,3,No,5,Positive
O00009,2023-09-20,2023,Q3,Sep,C0010,Male,45+,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,202,391,5355,4815,Chennai,Tamil Nadu,South,5,No,1,Negative
O00010,2022-11-19,2022,Q4,Nov,C0011,Male,26-35,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,206,704,7975,7326,Kolkata,West Bengal,East,5,No,1,Negative
O00011,2021-12-13,2021,Q4,Dec,C0012,Male,45+,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,157,333,5750,5338,Chennai,Tamil Nadu,South,1,No,3,Neutral
O00012,2017-11-12,2017,Q4,Nov,C0013,Male,18-25,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,148,1058,3447,2573,Pune,Maharashtra,West,5,Yes,3,Neutral
O00013,2025-02-04,2025,Q1,Feb,C0014,Male,36-45,New,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,246,323,1852,1722,Pune,Maharashtra,West,6,No,1,Negative
O00014,2019-11-16,2019,Q4,Nov,C0015,Female,18-25,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,206,1057,3860,3389,Bangalore,Karnataka,South,4,Yes,3,Neutral
O00015,2015-05-24,2015,Q2,May,C0016,Female,18-25,New,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,4,3196,215,801,4399,4193,Delhi,Delhi,North,1,Yes,3,Neutral
O00016,2018-07-19,2018,Q3,Jul,C0017,Male,36-45,New,Nivea,Skincare,Moisturizer,499,Low Price Listing,3,1497,39,480,6085,5237,Pune,Maharashtra,West,4,No,3,Neutral
O00017,2024-05-24,2024,Q2,May,C0018,Male,45+,Premium,Nivea,Skincare,Moisturizer,499,Low Price Listing,3,1497,44,655,2161,1774,Kolkata,West Bengal,East,4,Yes,2,Negative
O00018,2024-03-04,2024,Q1,Mar,C0019,Female,26-35,Regular,Nivea,Skincare,Moisturizer,499,Low Price Listing,2,998,63,412,1547,1362,Pune,Maharashtra,West,7,No,2,Negative
O00019,2014-10-06,2014,Q4,Oct,C0020,Male,26-35,New,Kay Beauty,Makeup,Blush,899,Mid Price Listing,3,2697,247,946,1899,1598,Chennai,Tamil Nadu,South,7,No,4,Positive
O00020,2015-04-16,2015,Q2,Apr,C0021,Male,26-35,Premium,Nivea,Skincare,Moisturizer,499,Low Price Listing,1,499,217,203,4368,3801,Mumbai,Maharashtra,West,5,No,5,Positive
O00021,2024-02-24,2024,Q1,Feb,C0022,Male,36-45,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,143,648,7709,7196,Pune,Maharashtra,West,1,Yes,5,Positive
O00022,2025-04-19,2025,Q2,Apr,C0023,Female,26-35,Premium,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,91,250,5883,5639,Hyderabad,Telangana,South,4,Yes,4,Positive
O00023,2017-09-25,2017,Q3,Sep,C0024,Male,18-25,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,181,218,7696,7298,Delhi,Delhi,North,2,No,1,Negative
O00024,2023-01-02,2023,Q1,Jan,C0025,Male,18-25,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,210,369,1454,859,Kolkata,West Bengal,East,6,Yes,5,Positive
O00025,2019-03-10,2019,Q1,Mar,C0026,Female,26-35,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,167,311,5391,4913,Mumbai,Maharashtra,West,4,No,1,Negative
O00026,2022-11-17,2022,Q4,Nov,C0027,Female,18-25,New,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,205,1432,1642,882,Chennai,Tamil Nadu,South,2,Yes,2,Negative
O00027,2019-06-01,2019,Q2,Jun,C0028,Female,26-35,Regular,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,208,1033,7286,6720,Mumbai,Maharashtra,West,7,Yes,3,Neutral
